id,customer_name,sentiment,csat_score,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center
DKK-57076809-w-055481-fU,Analise Gairdner,Neutral,7,10/29/2020,Billing Question,Detroit,Michigan,Call-Center,Within SLA,17,Los Angeles/CA
QGK-72219678-w-102139-KY,Crichton Kidsley,Very Positive,,10/05/2020,Service Outage,Spartanburg,South Carolina,Chatbot,Within SLA,23,Baltimore/MD
GYJ-30025932-A-023015-LD,Averill Brundrett,Negative,,10/04/2020,Billing Question,Gainesville,Florida,Call-Center,Above SLA,45,Los Angeles/CA
ZJI-96807559-i-620008-m7,Noreen Lafflina,Very Negative,1,10/17/2020,Billing Question,Portland,Oregon,Chatbot,Within SLA,12,Los Angeles/CA
DDU-69451719-O-176482-Fm,Toma Van der Beken,Very Positive,,10/17/2020,Payments,Fort Wayne,Indiana,Call-Center,Within SLA,23,Los Angeles/CA
JVI-79728660-U-224285-4a,Kaylyn Emlen,Neutral,5,10/28/2020,Billing Question,Salt Lake City,Utah,Call-Center,Within SLA,25,Baltimore/MD
AZI-95054097-e-185542-PT,Phillipe Bowring,Neutral,8,10/16/2020,Billing Question,Tyler,Texas,Chatbot,Within SLA,31,Baltimore/MD
TWX-27007918-I-608789-Xw,Krysta de Tocqueville,Positive,,10/21/2020,Billing Question,New York City,New York,Chatbot,Below SLA,37,Los Angeles/CA
XNG-44599118-P-344473-ZU,Oran Lifsey,Very Negative,,10/03/2020,Billing Question,Dallas,Texas,Email,Below SLA,37,Baltimore/MD
RLC-64108207-Z-285141-VS,Port Inggall,Neutral,,10/07/2020,Billing Question,Cincinnati,Ohio,Chatbot,Within SLA,12,Baltimore/MD
RJF-00263922-O-647027-TB,Ella Cristoforo,Negative,,10/09/2020,Billing Question,Everett,Washington,Chatbot,Within SLA,35,Los Angeles/CA
ZQN-32874873-e-786499-kJ,Aubrey Surcombe,Negative,,10/11/2020,Billing Question,Huntington,West Virginia,Web,Within SLA,18,Los Angeles/CA
JDP-35147568-w-630120-3l,Nicolle Fareweather,Very Positive,,10/02/2020,Billing Question,Portland,Oregon,Call-Center,Within SLA,30,Baltimore/MD
DPT-56483482-P-371409-CQ,Melesa Ricardot,Positive,7,10/10/2020,Billing Question,Springfield,Massachusetts,Chatbot,Within SLA,20,Denver/CO
ZOV-95861398-a-333622-9r,Odell Cathesyed,Very Negative,,10/06/2020,Payments,Hyattsville,Maryland,Call-Center,Below SLA,22,Baltimore/MD
BEJ-69711449-V-758715-cp,Dani Stanfield,Negative,4,10/18/2020,Billing Question,New York City,New York,Chatbot,Within SLA,28,Denver/CO
DEC-83767217-S-314070-eR,Margarette Jehaes,Negative,,10/11/2020,Billing Question,Huntsville,Alabama,Email,Above SLA,36,Baltimore/MD
XNY-04106353-Y-318117-I9,Noni Greatrakes,Neutral,,10/30/2020,Billing Question,Wichita,Kansas,Call-Center,Above SLA,37,Baltimore/MD
GKH-06532516-2-756137-9w,Gerik Archell,Negative,,10/26/2020,Billing Question,Lansing,Michigan,Web,Within SLA,41,Baltimore/MD
DJU-19977844-M-356042-cQ,Tammie Bettinson,Very Negative,,10/11/2020,Payments,Lansing,Michigan,Call-Center,Within SLA,9,Chicago/IL
ADD-82219259-r-882390-EG,Errol Follos,Neutral,,10/12/2020,Billing Question,Fort Wayne,Indiana,Chatbot,Below SLA,35,Baltimore/MD
YOB-40492230-M-009287-T8,Nanni Doy,Negative,5,10/08/2020,Billing Question,Hayward,California,Email,Within SLA,27,Baltimore/MD
GZD-50459522-O-178569-D2,Sophie Kleinerman,Very Negative,2,10/03/2020,Billing Question,Santa Barbara,California,Chatbot,Within SLA,20,Chicago/IL
FQX-24118867-H-358169-3N,Timotheus Menlove,Negative,,10/28/2020,Billing Question,Memphis,Tennessee,Call-Center,Within SLA,43,Baltimore/MD
SVH-32880745-c-681066-4a,Allayne Lednor,Negative,,10/06/2020,Service Outage,Murfreesboro,Tennessee,Chatbot,Below SLA,41,Baltimore/MD
ISK-94965442-x-233388-Vz,Bethina Fazzioli,Positive,,10/22/2020,Billing Question,Lubbock,Texas,Chatbot,Below SLA,45,Denver/CO
WUJ-90727821-m-177169-j0,Stanwood Esley,Very Negative,,10/01/2020,Billing Question,New York City,New York,Call-Center,Within SLA,19,Baltimore/MD
PKG-51691289-6-484895-mg,Anissa Kinrade,Very Positive,,10/05/2020,Payments,Oklahoma City,Oklahoma,Call-Center,Within SLA,40,Chicago/IL
YSU-89393344-7-508964-gG,Bradly Dinkin,Very Positive,,10/30/2020,Billing Question,Omaha,Nebraska,Chatbot,Below SLA,6,Chicago/IL
OKT-23554135-U-885557-tw,Callida Le Franc,Negative,6,10/27/2020,Billing Question,Birmingham,Alabama,Web,Within SLA,26,Los Angeles/CA
PWN-23158453-4-345907-mh,Jdavie Fasler,Neutral,,10/30/2020,Service Outage,Jamaica,New York,Chatbot,Below SLA,10,Baltimore/MD
SOU-95968322-O-261597-9F,Saundra Greenshields,Very Negative,,10/01/2020,Billing Question,Atlanta,Georgia,Chatbot,Below SLA,35,Los Angeles/CA
IFI-31277173-T-796016-Ej,Joseph Trenear,Negative,,10/03/2020,Service Outage,Clearwater,Florida,Email,Within SLA,38,Baltimore/MD
TAP-16251358-j-875784-7e,Kaylil Randell,Very Negative,2,10/07/2020,Billing Question,New York City,New York,Call-Center,Above SLA,17,Chicago/IL
IZI-93062579-M-779259-Aj,Quinton Marchelli,Positive,,10/13/2020,Payments,Los Angeles,California,Call-Center,Within SLA,39,Los Angeles/CA
YUZ-85735662-N-048492-c4,Hakim Saywood,Negative,,10/19/2020,Billing Question,Richmond,Virginia,Chatbot,Within SLA,30,Baltimore/MD
FXL-84178942-u-052829-XI,Lucilia Blenkhorn,Negative,,10/11/2020,Billing Question,Dallas,Texas,Email,Within SLA,39,Baltimore/MD
VJQ-35718541-f-410836-5V,Ophelia Thresh,Negative,,10/04/2020,Billing Question,Louisville,Kentucky,Email,Above SLA,15,Baltimore/MD
WWE-90128095-o-317664-QO,Norine Hedau,Negative,,10/27/2020,Payments,Lubbock,Texas,Call-Center,Within SLA,36,Los Angeles/CA
WRN-02286567-g-819640-IF,Inessa Trippitt,Very Positive,9,10/13/2020,Billing Question,Houston,Texas,Email,Above SLA,16,Los Angeles/CA
GII-58879080-G-003855-fq,Clarence Heymann,Very Negative,,10/22/2020,Billing Question,Spokane,Washington,Email,Above SLA,40,Los Angeles/CA
LEI-66844798-H-062686-fX,Dermot Capponer,Very Negative,,10/18/2020,Billing Question,Flint,Michigan,Email,Below SLA,30,Baltimore/MD
GJA-73841780-H-981786-el,Paulette Tartt,Very Negative,1,10/21/2020,Billing Question,New York City,New York,Email,Within SLA,14,Baltimore/MD
WMK-53470523-t-979771-6D,Tamarra Pavier,Negative,4,10/23/2020,Billing Question,Washington,District of Columbia,Chatbot,Within SLA,14,Baltimore/MD
RFH-13005335-x-941945-KY,Darcy Cuncarr,Negative,4,10/14/2020,Billing Question,Rockford,Illinois,Call-Center,Within SLA,37,Chicago/IL
TCF-76185462-G-581239-Uh,Ab Potteril,Very Negative,2,10/11/2020,Billing Question,Las Vegas,Nevada,Email,Below SLA,10,Chicago/IL
PHM-21046348-y-700571-Q0,Christi Matveichev,Neutral,,10/19/2020,Billing Question,Elmira,New York,Call-Center,Within SLA,24,Baltimore/MD
RTW-93566842-a-737480-ex,Luca Castel,Positive,9,10/06/2020,Payments,Houston,Texas,Call-Center,Within SLA,44,Los Angeles/CA
EVX-57238379-w-409038-iP,Sonnie Pickvance,Positive,7,10/27/2020,Billing Question,Daytona Beach,Florida,Web,Within SLA,18,Los Angeles/CA
HGJ-90827281-o-285311-OH,Abramo Tottman,Very Negative,1,10/19/2020,Billing Question,Inglewood,California,Web,Above SLA,33,Baltimore/MD
RMP-80622052-4-366156-CW,Evanne Domeny,Very Negative,,10/08/2020,Billing Question,Cincinnati,Ohio,Call-Center,Below SLA,20,Los Angeles/CA
QOT-98385562-d-413189-ae,Welsh Eisig,Very Negative,,10/05/2020,Billing Question,Greeley,Colorado,Web,Within SLA,21,Denver/CO
EAE-65130530-2-175819-Fy,Terrye Conring,Very Negative,3,10/28/2020,Payments,Fort Worth,Texas,Call-Center,Within SLA,29,Los Angeles/CA
DVL-23396440-Q-486865-FM,Kinny Foxall,Very Negative,,10/26/2020,Payments,Mobile,Alabama,Call-Center,Below SLA,25,Baltimore/MD
NEC-52763410-8-812910-pI,Dare Ropcke,Positive,8,10/25/2020,Billing Question,Charlotte,North Carolina,Email,Within SLA,34,Denver/CO
XAW-53304484-e-433257-XN,Cornelia Dunbabin,Neutral,,10/28/2020,Billing Question,Reading,Pennsylvania,Call-Center,Within SLA,9,Los Angeles/CA
NXV-10881978-9-946923-43,Cathrine Samwayes,Very Negative,3,10/15/2020,Billing Question,Jamaica,New York,Email,Above SLA,19,Baltimore/MD
MDE-83031739-m-664425-oX,Katy Flaxman,Negative,,10/18/2020,Billing Question,Dallas,Texas,Chatbot,Within SLA,13,Los Angeles/CA
WRH-77726615-b-077434-rN,Lily Mackneis,Very Negative,,10/11/2020,Billing Question,Albuquerque,New Mexico,Chatbot,Within SLA,28,Baltimore/MD
NHW-21028958-t-422528-Io,Brigid Bolduc,Neutral,,10/30/2020,Billing Question,Lawrenceville,Georgia,Chatbot,Within SLA,12,Los Angeles/CA
KAT-16845483-b-068292-1G,Bobette Dominik,Neutral,,10/12/2020,Billing Question,San Diego,California,Chatbot,Within SLA,43,Denver/CO
AIL-21152814-d-948025-n4,Evvy Strodder,Very Negative,,10/09/2020,Billing Question,Atlanta,Georgia,Chatbot,Below SLA,18,Los Angeles/CA
MWN-00656157-D-072318-s6,Stirling Melonby,Negative,,10/09/2020,Billing Question,Jackson,Mississippi,Web,Within SLA,13,Los Angeles/CA
WPV-53866208-i-349806-BS,Casey Leuren,Neutral,8,10/30/2020,Billing Question,Brooklyn,New York,Chatbot,Within SLA,11,Baltimore/MD
VFQ-57739589-l-193160-SS,Daryl Brockington,Neutral,,10/21/2020,Service Outage,Des Moines,Iowa,Chatbot,Within SLA,34,Chicago/IL
CYA-41460660-A-483427-PH,Filippo Lobb,Very Positive,10,10/02/2020,Payments,Athens,Georgia,Call-Center,Within SLA,28,Denver/CO
KAJ-22233064-X-517737-X0,Shane Edland,Very Positive,10,10/17/2020,Billing Question,Spring,Texas,Email,Below SLA,5,Los Angeles/CA
LUH-80430657-z-207262-lV,Burtie Crisford,Very Negative,,10/09/2020,Billing Question,Tucson,Arizona,Call-Center,Within SLA,7,Baltimore/MD
ZHL-06753407-O-331004-y6,Arabele Clerke,Neutral,,10/28/2020,Service Outage,Austin,Texas,Chatbot,Below SLA,39,Los Angeles/CA
QGD-50303332-A-087785-PH,Giustino Kennermann,Very Negative,,10/06/2020,Service Outage,Las Vegas,Nevada,Chatbot,Within SLA,19,Baltimore/MD
ZJX-47155083-b-805254-9M,Glori Oleksiak,Negative,,10/12/2020,Payments,Jackson,Tennessee,Call-Center,Below SLA,18,Baltimore/MD
LMR-68858294-L-183176-Qy,Rey Sabatini,Negative,,10/02/2020,Payments,Dallas,Texas,Call-Center,Within SLA,7,Chicago/IL
FKP-23360048-y-114896-NK,Brandyn Venneur,Very Positive,,10/24/2020,Payments,Washington,District of Columbia,Call-Center,Within SLA,22,Baltimore/MD
AXT-89051099-d-054300-XT,Pierce Gallichan,Negative,,10/23/2020,Billing Question,Philadelphia,Pennsylvania,Web,Above SLA,36,Denver/CO
AOG-02888619-4-739374-wN,Chilton Ropars,Neutral,,10/28/2020,Service Outage,Fresno,California,Email,Within SLA,25,Los Angeles/CA
OPL-13984987-m-901880-um,Hayley Asty,Very Negative,3,10/03/2020,Billing Question,Los Angeles,California,Email,Within SLA,27,Baltimore/MD
YWB-65644523-O-674458-XP,Kore Whittle,Positive,,10/25/2020,Billing Question,Baton Rouge,Louisiana,Call-Center,Within SLA,26,Los Angeles/CA
IYD-81228771-b-769762-1V,Abeu Anwyl,Positive,,10/19/2020,Billing Question,Delray Beach,Florida,Call-Center,Within SLA,5,Los Angeles/CA
ZHN-91225755-t-681844-LG,Feliks People,Neutral,6,10/12/2020,Payments,White Plains,New York,Call-Center,Within SLA,29,Los Angeles/CA
IHI-72966951-G-403110-Sy,Shell Duiguid,Negative,,10/23/2020,Billing Question,Peoria,Illinois,Chatbot,Within SLA,31,Denver/CO
IUP-65163856-f-184879-aa,Evania Mildner,Neutral,,10/29/2020,Billing Question,Des Moines,Iowa,Chatbot,Above SLA,10,Chicago/IL
DAN-39591608-P-003798-Bg,Alie Myles,Very Positive,,10/17/2020,Billing Question,Knoxville,Tennessee,Email,Within SLA,23,Los Angeles/CA
VKG-54364407-E-601314-Fp,Kincaid MacLachlan,Neutral,,10/16/2020,Billing Question,Dallas,Texas,Web,Within SLA,27,Los Angeles/CA
AJF-10178673-I-311710-Fh,Rutherford Champain,Negative,,10/13/2020,Payments,Anchorage,Alaska,Call-Center,Below SLA,10,Baltimore/MD
NBG-56274949-o-852036-dB,Clair Swallow,Neutral,,10/16/2020,Billing Question,Phoenix,Arizona,Email,Above SLA,30,Los Angeles/CA
JIG-42904757-r-372395-ZH,Westleigh Bentzen,Very Negative,,10/05/2020,Billing Question,Tallahassee,Florida,Web,Above SLA,36,Baltimore/MD
QKD-91233651-M-990701-UR,Christophe Rosengart,Positive,,10/16/2020,Billing Question,Saint Paul,Minnesota,Email,Within SLA,8,Los Angeles/CA
KLM-90591825-E-378019-Ie,Austina Swynfen,Positive,,10/23/2020,Service Outage,Glendale,Arizona,Chatbot,Above SLA,33,Los Angeles/CA
VLX-33683640-T-372040-uu,Celestina Tackes,Negative,5,10/26/2020,Billing Question,Cleveland,Ohio,Call-Center,Within SLA,43,Chicago/IL
YOK-23627279-k-431497-L2,Oswald Brawson,Positive,,10/07/2020,Billing Question,Cape Coral,Florida,Chatbot,Within SLA,23,Baltimore/MD
BIL-26875178-G-474377-tv,Zechariah Ingarfield,Negative,,10/22/2020,Billing Question,Charlotte,North Carolina,Call-Center,Within SLA,25,Chicago/IL
RDL-63750260-P-416532-DU,Gussie Vowles,Negative,6,10/03/2020,Service Outage,El Paso,Texas,Chatbot,Above SLA,31,Los Angeles/CA
CAG-24954306-H-104528-3n,Felisha Sprowle,Negative,,10/05/2020,Billing Question,Charleston,West Virginia,Call-Center,Within SLA,12,Los Angeles/CA
HFL-70785916-D-871851-or,Lorna Boggish,Very Negative,,10/29/2020,Billing Question,Valdosta,Georgia,Call-Center,Within SLA,40,Los Angeles/CA
CZG-05210179-2-615320-oK,Charmion Sopp,Neutral,,10/04/2020,Payments,Jacksonville,Florida,Call-Center,Within SLA,38,Baltimore/MD
QCH-73713558-G-204641-Mt,Brande Adamini,Neutral,,10/14/2020,Billing Question,New Orleans,Louisiana,Email,Within SLA,17,Baltimore/MD
WIQ-06317928-k-919384-Q2,Karl Woolaston,Positive,,10/17/2020,Service Outage,Tacoma,Washington,Chatbot,Within SLA,31,Denver/CO
JMP-77172697-n-901768-bp,Gaven Blandamore,Very Negative,,10/03/2020,Billing Question,Phoenix,Arizona,Chatbot,Within SLA,18,Los Angeles/CA
HKE-85931805-N-030647-oR,Pieter Pheasey,Negative,,10/06/2020,Service Outage,San Jose,California,Chatbot,Within SLA,39,Los Angeles/CA
TQA-46056709-v-539940-ee,Taddeusz Badcock,Negative,6,10/14/2020,Billing Question,Charlotte,North Carolina,Web,Below SLA,45,Los Angeles/CA
WZW-59071138-j-875358-dO,Ellyn McCaskill,Very Positive,10,10/19/2020,Billing Question,Dayton,Ohio,Chatbot,Within SLA,30,Los Angeles/CA
ORE-49445345-7-879511-FT,Amargo Eplate,Positive,8,10/21/2020,Billing Question,Washington,District of Columbia,Web,Below SLA,45,Baltimore/MD
DDC-15300112-m-922879-u2,Lorrie Spong,Very Negative,,10/11/2020,Billing Question,Charlotte,North Carolina,Chatbot,Within SLA,9,Baltimore/MD
XOD-41601699-M-437189-Vy,Teodoro Denkin,Positive,,10/19/2020,Billing Question,Dayton,Ohio,Web,Within SLA,34,Los Angeles/CA
BGB-25489336-F-739158-Vd,Vale Bouette,Neutral,,10/09/2020,Service Outage,Houston,Texas,Chatbot,Within SLA,25,Baltimore/MD
YUK-10925388-i-304236-Br,Pren Klus,Neutral,,10/01/2020,Billing Question,New York City,New York,Chatbot,Within SLA,12,Los Angeles/CA
UMM-77438392-W-343952-6Y,Carola Gummery,Neutral,8,10/28/2020,Billing Question,Philadelphia,Pennsylvania,Web,Within SLA,44,Baltimore/MD
ZUX-00417832-N-543837-Pe,Faina Matyasik,Negative,6,10/05/2020,Billing Question,Roanoke,Virginia,Chatbot,Within SLA,16,Los Angeles/CA
UMY-95311157-A-947677-HK,Doloritas enzley,Very Negative,3,10/01/2020,Service Outage,Ocala,Florida,Chatbot,Within SLA,36,Baltimore/MD
